date,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
2024-06-14,0.0,0.0,0.0,10258.592609,0.0
2024-06-15,0.0,0.0,0.0,3369.958346,0.0
2024-06-16,0.0,0.0,0.0,0.0,0.0
2024-06-17,0.0,0.0,0.0,10599.502375,0.0
2024-06-18,0.0,0.0,0.0,282.57636,0.0
2024-06-19,0.0,0.0,0.0,4887.656944,0.0
2024-06-20,0.0,0.0,0.0,57478.456026,0.0
2024-06-21,0.0,0.0,0.0,773.5582039999999,0.0
2024-06-22,0.0,0.0,0.0,0.0,756.876565
2024-06-23,0.0,0.0,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.0,0.0,0.0
2024-06-25,0.0,0.0,4869.353105,0.0,0.0
2024-06-26,0.0,0.0,0.0,0.0,4197.732182
2024-06-27,0.0,0.0,0.0,0.0,0.0
2024-06-29,0.0,0.0,6150.326145,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,5065.839308
2024-07-02,0.0,0.0,0.0,0.0,2421.253116
2024-07-03,0.0,0.0,0.0,0.0,1118.387284
2024-07-04,0.0,0.0,0.0,0.0,0.0
2024-07-05,0.0,0.0,0.0,0.0,0.0
2024-07-06,0.0,0.0,108.87217799999999,0.0,0.0
2024-07-07,0.0,0.0,61.428942,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.0,0.0
2024-07-09,0.0,0.0,648.984412,0.0,0.0
2024-07-10,0.0,0.0,11977.734907,0.0,0.0
2024-07-11,0.0,0.0,1876.812082,0.0,0.0
2024-07-12,0.0,0.0,1412.314654,0.0,0.0
2024-07-13,0.0,0.0,2913.617837,0.0,0.0
2024-07-14,0.0,0.0,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.0,-1.0
2024-07-16,0.0,0.0,0.0,0.0,0.0
2024-07-17,0.0,0.0,0.0,1859.269477,0.0
2024-07-18,0.0,0.0,0.0,3803.884311,0.0
2024-07-19,0.0,0.0,0.0,2155.891114,0.0
2024-07-20,0.0,0.0,0.0,2299.169566,0.0
2024-07-21,0.0,0.0,0.0,-2960.716887,0.0
2024-07-22,0.0,0.0,0.0,1517.119876,0.0
2024-07-23,0.0,0.0,0.0,89890.302206,0.0
2024-07-24,0.0,0.0,0.0,625.561479,0.0
2024-07-25,0.0,0.0,0.0,916.7382600000001,0.0
2024-07-26,0.0,0.0,0.0,2766.513113,0.0
2024-07-27,0.0,0.0,0.0,6400.623656,0.0
2024-07-28,0.0,0.0,0.0,587.29903,0.0
2024-07-29,0.0,0.0,0.0,330.80445399999996,0.0
2024-07-30,0.0,0.0,0.0,0.0,0.0
2024-07-31,0.0,0.0,0.0,765.690884,0.0
2024-08-01,0.0,0.0,0.0,0.0,167.080017
2024-08-02,0.0,0.0,0.0,782.3681909999999,0.0
2024-08-03,0.0,0.0,464.1897,0.0,0.0
2024-08-04,0.0,0.0,-122672.000883,0.0,0.0
2024-08-05,0.0,0.0,-13013.665169,0.0,0.0
2024-08-06,267.318048,0.0,0.0,0.0,0.0
2024-08-07,0.0,0.0,188.789255,0.0,0.0
